count,date,close,ma200,deviation,average,sigma
1,2011-03-01,21.2714786529541,0.0,0.0,0.0,0.0
2,2011-03-02,21.505054473876953,0.0,0.0,0.0,0.0
3,2011-03-03,21.922138214111328,0.0,0.0,0.0,0.0
4,2011-03-04,21.88877296447754,0.0,0.0,0.0,0.0
5,2011-03-07,21.688568115234375,0.0,0.0,0.0,0.0
6,2011-03-08,22.19741439819336,0.0,0.0,0.0,0.0
7,2011-03-09,22.372596740722656,0.0,0.0,0.0,0.0
8,2011-03-10,22.255809783935547,0.0,0.0,0.0,0.0
9,2011-03-11,22.47269630432129,0.0,0.0,0.0,0.0
10,2011-03-14,22.3642520904541,0.0,0.0,0.0,0.0
11,2011-03-15,22.222442626953125,0.0,0.0,0.0,0.0
12,2011-03-16,21.688568115234375,0.0,0.0,0.0,0.0
13,2011-03-17,21.75530433654785,0.0,0.0,0.0,0.0
14,2011-03-18,21.85540199279785,0.0,0.0,0.0,0.0
15,2011-03-21,21.95549964904785,0.0,0.0,0.0,0.0
16,2011-03-22,22.063949584960938,0.0,0.0,0.0,0.0
17,2011-03-23,22.497716903686523,0.0,0.0,0.0,0.0
18,2011-03-24,22.756309509277344,0.0,0.0,0.0,0.0
19,2011-03-25,22.681236267089844,0.0,0.0,0.0,0.0
20,2011-03-28,22.28917694091797,0.0,0.0,0.0,0.0
21,2011-03-29,22.46435546875,0.0,0.0,0.0,0.0
22,2011-03-30,22.497716903686523,0.0,0.0,0.0,0.0
23,2011-03-31,22.04726219177246,0.0,0.0,0.0,0.0
24,2011-04-01,22.305856704711914,0.0,0.0,0.0,0.0
25,2011-04-04,22.172386169433594,0.0,0.0,0.0,0.0
26,2011-04-05,22.339223861694336,0.0,0.0,0.0,0.0
27,2011-04-06,22.247465133666992,0.0,0.0,0.0,0.0
28,2011-04-07,22.189075469970703,0.0,0.0,0.0,0.0
29,2011-04-08,22.372596740722656,0.0,0.0,0.0,0.0
30,2011-04-11,22.339223861694336,0.0,0.0,0.0,0.0
31,2011-04-12,22.597820281982422,0.0,0.0,0.0,0.0
32,2011-04-13,22.447669982910156,0.0,0.0,0.0,0.0
33,2011-04-14,22.597820281982422,0.0,0.0,0.0,0.0
34,2011-04-15,22.564453125,0.0,0.0,0.0,0.0
35,2011-04-18,22.16240882873535,0.0,0.0,0.0,0.0
36,2011-04-19,22.329927444458008,0.0,0.0,0.0,0.0
37,2011-04-20,22.329927444458008,0.0,0.0,0.0,0.0
38,2011-04-21,22.338308334350586,0.0,0.0,0.0,0.0
39,2011-04-25,22.061904907226562,0.0,0.0,0.0,0.0
40,2011-04-26,22.00326919555664,0.0,0.0,0.0,0.0
41,2011-04-27,22.396934509277344,0.0,0.0,0.0,0.0
42,2011-04-28,22.279678344726562,0.0,0.0,0.0,0.0
43,2011-04-29,21.98652458190918,0.0,0.0,0.0,0.0
44,2011-05-02,22.09540557861328,0.0,0.0,0.0,0.0
45,2011-05-03,21.819002151489258,0.0,0.0,0.0,0.0
46,2011-05-04,21.57610321044922,0.0,0.0,0.0,0.0
47,2011-05-05,21.57610321044922,0.0,0.0,0.0,0.0
48,2011-05-06,21.475595474243164,0.0,0.0,0.0,0.0
49,2011-05-09,21.57610321044922,0.0,0.0,0.0,0.0
50,2011-05-10,21.953014373779297,0.0,0.0,0.0,0.0
51,2011-05-11,21.726871490478516,0.0,0.0,0.0,0.0
52,2011-05-12,21.760372161865234,0.0,0.0,0.0,0.0
53,2011-05-13,21.57610321044922,0.0,0.0,0.0,0.0
54,2011-05-16,20.805532455444336,0.0,0.0,0.0,0.0
55,2011-05-17,20.73015594482422,0.0,0.0,0.0,0.0
56,2011-05-18,20.981422424316406,0.0,0.0,0.0,0.0
57,2011-05-19,20.755271911621094,0.0,0.0,0.0,0.0
58,2011-05-20,20.48724365234375,0.0,0.0,0.0,0.0
59,2011-05-23,20.42024040222168,0.0,0.0,0.0,0.0
60,2011-05-24,20.227596282958984,0.0,0.0,0.0,0.0
61,2011-05-25,20.38673973083496,0.0,0.0,0.0,0.0
62,2011-05-26,20.36160659790039,0.0,0.0,0.0,0.0
63,2011-05-27,20.311355590820312,0.0,0.0,0.0,0.0
64,2011-05-31,20.21921730041504,0.0,0.0,0.0,0.0
65,2011-06-01,19.867435455322266,0.0,0.0,0.0,0.0
66,2011-06-02,19.75855827331543,0.0,0.0,0.0,0.0
67,2011-06-03,19.599409103393555,0.0,0.0,0.0,0.0
68,2011-06-06,19.155494689941406,0.0,0.0,0.0,0.0
