count,date,close,ma200,deviation,average,sigma
1,2011-03-01,24.35363006591797,0.0,0.0,0.0,0.0
2,2011-03-02,24.184568405151367,0.0,0.0,0.0,0.0
3,2011-03-03,24.41804313659668,0.0,0.0,0.0,0.0
4,2011-03-04,24.345584869384766,0.0,0.0,0.0,0.0
5,2011-03-07,24.104066848754883,0.0,0.0,0.0,0.0
6,2011-03-08,24.23287582397461,0.0,0.0,0.0,0.0
7,2011-03-09,23.95109748840332,0.0,0.0,0.0,0.0
8,2011-03-10,23.50830078125,0.0,0.0,0.0,0.0
9,2011-03-11,24.36973762512207,0.0,0.0,0.0,0.0
10,2011-03-14,24.337535858154297,0.0,0.0,0.0,0.0
11,2011-03-15,24.087963104248047,0.0,0.0,0.0,0.0
12,2011-03-16,23.500253677368164,0.0,0.0,0.0,0.0
13,2011-03-17,23.48415184020996,0.0,0.0,0.0,0.0
14,2011-03-18,23.500253677368164,0.0,0.0,0.0,0.0
15,2011-03-21,23.701520919799805,0.0,0.0,0.0,0.0
16,2011-03-22,23.38753890991211,0.0,0.0,0.0,0.0
17,2011-03-23,23.564659118652344,0.0,0.0,0.0,0.0
18,2011-03-24,23.74177360534668,0.0,0.0,0.0,0.0
19,2011-03-25,23.991352081298828,0.0,0.0,0.0,0.0
20,2011-03-28,24.007457733154297,0.0,0.0,0.0,0.0
21,2011-03-29,24.087963104248047,0.0,0.0,0.0,0.0
22,2011-03-30,24.02355194091797,0.0,0.0,0.0,0.0
23,2011-03-31,23.999399185180664,0.0,0.0,0.0,0.0
24,2011-04-01,24.152362823486328,0.0,0.0,0.0,0.0
25,2011-04-04,24.289226531982422,0.0,0.0,0.0,0.0
26,2011-04-05,24.039657592773438,0.0,0.0,0.0,0.0
27,2011-04-06,24.128841400146484,0.0,0.0,0.0,0.0
28,2011-04-07,24.518016815185547,0.0,0.0,0.0,0.0
29,2011-04-08,24.380189895629883,0.0,0.0,0.0,0.0
30,2011-04-11,24.20181655883789,0.0,0.0,0.0,0.0
31,2011-04-12,23.74777603149414,0.0,0.0,0.0,0.0
32,2011-04-13,23.85317039489746,0.0,0.0,0.0,0.0
33,2011-04-14,23.788311004638672,0.0,0.0,0.0,0.0
34,2011-04-15,23.93425178527832,0.0,0.0,0.0,0.0
35,2011-04-18,23.553184509277344,0.0,0.0,0.0,0.0
36,2011-04-19,23.374814987182617,0.0,0.0,0.0,0.0
37,2011-04-20,23.836965560913086,0.0,0.0,0.0,0.0
38,2011-04-21,24.145057678222656,0.0,0.0,0.0,0.0
39,2011-04-25,24.007221221923828,0.0,0.0,0.0,0.0
40,2011-04-26,24.047760009765625,0.0,0.0,0.0,0.0
41,2011-04-27,24.290992736816406,0.0,0.0,0.0,0.0
42,2011-04-28,24.63962745666504,0.0,0.0,0.0,0.0
43,2011-04-29,24.550447463989258,0.0,0.0,0.0,0.0
44,2011-05-02,24.809894561767578,0.0,0.0,0.0,0.0
45,2011-05-03,24.947729110717773,0.0,0.0,0.0,0.0
46,2011-05-04,24.62342071533203,0.0,0.0,0.0,0.0
47,2011-05-05,24.104511260986328,0.0,0.0,0.0,0.0
48,2011-05-06,24.11262321472168,0.0,0.0,0.0,0.0
49,2011-05-09,24.088302612304688,0.0,0.0,0.0,0.0
50,2011-05-10,24.282886505126953,0.0,0.0,0.0,0.0
51,2011-05-11,24.290992736816406,0.0,0.0,0.0,0.0
52,2011-05-12,24.42072105407715,0.0,0.0,0.0,0.0
53,2011-05-13,24.11262321472168,0.0,0.0,0.0,0.0
54,2011-05-16,24.40450668334961,0.0,0.0,0.0,0.0
55,2011-05-17,24.32343101501465,0.0,0.0,0.0,0.0
56,2011-05-18,24.57476806640625,0.0,0.0,0.0,0.0
57,2011-05-19,24.728824615478516,0.0,0.0,0.0,0.0
58,2011-05-20,24.67206382751465,0.0,0.0,0.0,0.0
59,2011-05-23,24.282886505126953,0.0,0.0,0.0,0.0
60,2011-05-24,24.25046730041504,0.0,0.0,0.0,0.0
61,2011-05-25,24.607202529907227,0.0,0.0,0.0,0.0
62,2011-05-26,24.907194137573242,0.0,0.0,0.0,0.0
63,2011-05-27,24.939620971679688,0.0,0.0,0.0,0.0
64,2011-05-31,24.866653442382812,0.0,0.0,0.0,0.0
65,2011-06-01,24.54233741760254,0.0,0.0,0.0,0.0
66,2011-06-02,24.509910583496094,0.0,0.0,0.0,0.0
67,2011-06-03,24.54233741760254,0.0,0.0,0.0,0.0
68,2011-06-06,24.380189895629883,0.0,0.0,0.0,0.0
69,2011-06-07,24.62342071533203,0.0,0.0,0.0,0.0
70,2011-06-08,24.25046730041504,0.0,0.0,0.0,0.0
71,2011-06-09,24.2747802734375,0.0,0.0,0.0,0.0
72,2011-06-10,24.007221221923828,0.0,0.0,0.0,0.0
73,2011-06-13,24.242351531982422,0.0,0.0,0.0,0.0
74,2011-06-14,24.39639663696289,0.0,0.0,0.0,0.0
75,2011-06-15,24.023441314697266,0.0,0.0,0.0,0.0
76,2011-06-16,24.023441314697266,0.0,0.0,0.0,0.0
77,2011-06-17,24.153160095214844,0.0,0.0,0.0,0.0
