count,date,close,ma200,deviation,average,sigma
1,2011-03-01,12.25737476348877,0.0,0.0,0.0,0.0
2,2011-03-02,12.361947059631348,0.0,0.0,0.0,0.0
3,2011-03-03,12.242072105407715,0.0,0.0,0.0,0.0
4,2011-03-04,12.254826545715332,0.0,0.0,0.0,0.0
5,2011-03-07,12.293083190917969,0.0,0.0,0.0,0.0
6,2011-03-08,12.530274391174316,0.0,0.0,0.0,0.0
7,2011-03-09,12.354293823242188,0.0,0.0,0.0,0.0
8,2011-03-10,12.11455249786377,0.0,0.0,0.0,0.0
9,2011-03-11,11.966625213623047,0.0,0.0,0.0,0.0
10,2011-03-14,11.721785545349121,0.0,0.0,0.0,0.0
11,2011-03-15,11.471845626831055,0.0,0.0,0.0,0.0
12,2011-03-16,11.27291202545166,0.0,0.0,0.0,0.0
13,2011-03-17,11.775345802307129,0.0,0.0,0.0,0.0
14,2011-03-18,11.834006309509277,0.0,0.0,0.0,0.0
15,2011-03-21,12.150259017944336,0.0,0.0,0.0,0.0
16,2011-03-22,12.234419822692871,0.0,0.0,0.0,0.0
17,2011-03-23,12.020186424255371,0.0,0.0,0.0,0.0
18,2011-03-24,12.259929656982422,0.0,0.0,0.0,0.0
19,2011-03-25,12.395096778869629,0.0,0.0,0.0,0.0
20,2011-03-28,12.369595527648926,0.0,0.0,0.0,0.0
21,2011-03-29,12.428257942199707,0.0,0.0,0.0,0.0
22,2011-03-30,12.34154224395752,0.0,0.0,0.0,0.0
23,2011-03-31,12.331339836120605,0.0,0.0,0.0,0.0
24,2011-04-01,12.517520904541016,0.0,0.0,0.0,0.0
25,2011-04-04,12.622090339660645,0.0,0.0,0.0,0.0
26,2011-04-05,12.576179504394531,0.0,0.0,0.0,0.0
27,2011-04-06,12.645044326782227,0.0,0.0,0.0,0.0
28,2011-04-07,12.441006660461426,0.0,0.0,0.0,0.0
29,2011-04-08,12.573628425598145,0.0,0.0,0.0,0.0
30,2011-04-11,12.537923812866211,0.0,0.0,0.0,0.0
31,2011-04-12,12.15790843963623,0.0,0.0,0.0,0.0
32,2011-04-13,12.20126724243164,0.0,0.0,0.0,0.0
33,2011-04-14,11.933473587036133,0.0,0.0,0.0,0.0
34,2011-04-15,11.834006309509277,0.0,0.0,0.0,0.0
35,2011-04-18,11.545805931091309,0.0,0.0,0.0,0.0
36,2011-04-19,11.510101318359375,0.0,0.0,0.0,0.0
37,2011-04-20,11.900315284729004,0.0,0.0,0.0,0.0
38,2011-04-21,11.971728324890137,0.0,0.0,0.0,0.0
39,2011-04-26,11.96917724609375,0.0,0.0,0.0,0.0
40,2011-04-27,12.168109893798828,0.0,0.0,0.0,0.0
41,2011-04-28,12.29818344116211,0.0,0.0,0.0,0.0
42,2011-04-29,12.29818344116211,0.0,0.0,0.0,0.0
43,2011-05-02,12.443556785583496,0.0,0.0,0.0,0.0
44,2011-05-03,12.203817367553711,0.0,0.0,0.0,0.0
45,2011-05-04,11.793197631835938,0.0,0.0,0.0,0.0
46,2011-05-05,11.6835298538208,0.0,0.0,0.0,0.0
47,2011-05-06,11.846758842468262,0.0,0.0,0.0,0.0
48,2011-05-09,11.652924537658691,0.0,0.0,0.0,0.0
49,2011-05-10,11.793197631835938,0.0,0.0,0.0,0.0
50,2011-05-11,11.775345802307129,0.0,0.0,0.0,0.0
51,2011-05-12,11.6835298538208,0.0,0.0,0.0,0.0
